keys,it
UI_LOOT_TAKE_ALL,Prendi tutto
UI_LOOT_CLOSE,Chiudi
UI_LOOT_GOLD_LOG,Raccolto: {amount} oro
# ── Generic / shared ─────────────────────────────────────────────────────────
UI_BTN_CONFIRM,Conferma
UI_BTN_CANCEL,Annulla
UI_BTN_BACK,Indietro
UI_BTN_CLOSE,Chiudi
UI_BTN_DELETE,Elimina
UI_CHEST_EMPTY_LOOTED,Il forziere è vuoto.
UI_CHEST_EMPTY_NO_LOOT,Il forziere è vuoto!
UI_WARN_CANT_USE_ITEMS,Non puoi usare oggetti in questo stato!
UI_TARGETING_INVALID,Seleziona un bersaglio valido (tile verde).
UI_SUMMONER_CHOOSE_TITLE,Scegli Elementale  (ESC = Annulla)
