keys,it
ITEM_ANELLO_ARCANO_NAME,Anello Arcano
ITEM_ANELLO_ARGENTO_NAME,Anello d'Argento
ITEM_ANELLO_AVVENTURIERO_NAME,Anello d'Avventuriero
ITEM_ANELLO_BASE_NAME,Anello di Ferro
ITEM_ANELLO_BERILLO_NAME,Anello di Berillo
ITEM_ANELLO_BRONZO_NAME,Anello di Bronzo
ITEM_ANELLO_CALCEDONIO_NAME,Anello di Calcedonio
ITEM_ANELLO_DESTINO_NAME,Anello del Destino
ITEM_ANELLO_DIAMANTE_NAME,Anello di Diamante
ITEM_ANELLO_DIASPRO_NAME,Anello di Diaspro
ITEM_ANELLO_ELETTO_NAME,Anello dell'Eletto
ITEM_ANELLO_FERRO_ACC_NAME,Anello di Ferro
ITEM_ANELLO_GEMMED_NAME,Anello Gemmed
ITEM_ANELLO_GRANATO_NAME,Anello di Granato
ITEM_ANELLO_GUERRIERO_NAME,Anello del Guerriero
ITEM_ANELLO_IMMORTALE_NAME,Anello dell'Immortale
ITEM_ANELLO_INCISO_NAME,Anello Inciso
ITEM_ANELLO_MITHRIL_NAME,Anello di Mithril
ITEM_ANELLO_NEGROMANTE_NAME,Anello del Negromante
ITEM_ANELLO_ONICE_NAME,Anello d'Onice
ITEM_ANELLO_ORO_NAME,Anello d'Oro
ITEM_ANELLO_OSSIDIANA_NAME,Anello d'Ossidiana
ITEM_ANELLO_QUARZO_NAME,Anello di Quarzo
ITEM_ANELLO_RAME_NAME,Anello di Rame
ITEM_ANELLO_RUBINO_NAME,Anello di Rubino
ITEM_ANELLO_SAGGIO_NAME,Anello del Saggio
ITEM_ANELLO_SMERALDO_NAME,Anello di Smeraldo
ITEM_ANELLO_TOPAZIO_NAME,Anello di Topazio
ITEM_ANELLO_TURCHESE_NAME,Anello di Turchese
ITEM_ANELLO_VIANDANTE_NAME,Anello del Viandante
ITEM_ANELLO_ZAFFIRO_NAME,Anello di Zaffiro
ITEM_ASTROLABIO_TASCABILE_NAME,Astrolabio Tascabile
ITEM_BOTTONE_ARCIMAGO_NAME,Bottone dell'Arcimago
ITEM_BOTTONE_CUOIO_NAME,Bottone di Cuoio
ITEM_BUSSOLOTTO_AVORIO_NAME,Bussolotto d'Avorio
ITEM_CHIODO_ANTICO_NAME,Chiodo Antico
ITEM_CLESSIDRA_ROTTA_NAME,Clessidra Rotta
ITEM_COMPASSO_ARRUGGINITO_NAME,Compasso Arrugginito
ITEM_CRISTALLO_SCHEGGIATO_NAME,Cristallo Scheggiato
ITEM_CUBO_OSSIDIANA_NAME,Cubo di Ossidiana
ITEM_CUORE_ELETTO_NAME,Cuore dell'Eletto
ITEM_CUORE_PIETRA_NAME,Cuore di Pietra
ITEM_DADO_PORTAFORTUNA_NAME,Dado Portafortuna
ITEM_DENTE_DRAGO_PICCOLO_NAME,Dente di Drago (piccolo)
ITEM_DENTE_MOSTRO_NAME,Dente di Mostro
ITEM_DITO_SCHELETRICO_NAME,Dito Scheletrico
ITEM_FIALA_SABBIA_NAME,Fiala di Sabbia del Deserto
ITEM_FIALA_SANGUE_NAME,Fiala di Sangue
ITEM_FRAMMENTO_ANIMA_NAME,Frammento d'Anima
ITEM_FRAMMENTO_SPECCHIO_NAME,Frammento di Specchio
ITEM_FRECCIA_SPEZZATA_NAME,Freccia Spezzata
ITEM_GRANO_SABBIA_ORO_NAME,Grano di Sabbia d'Oro
ITEM_INGRANAGGIO_ANTICO_NAME,Ingranaggio Antico
ITEM_LACRIMA_DRAGO_NAME,Lacrima di Drago
ITEM_MEDAGLIONE_SCHEGGIATO_NAME,Medaglione Scheggiato
ITEM_MONETA_ANTICA_NAME,Moneta Antica
ITEM_OCCHIO_LICH_NAME,Occhio del Lich
ITEM_OCCHIO_VETRO_NAME,Occhio di Vetro
ITEM_PIETRA_ABISSO_NAME,Pietra dell'Abisso
ITEM_PIUMA_CORVO_NAME,Piuma di Corvo
ITEM_PRISMA_INFINITO_NAME,Prisma dell'Infinito
ITEM_RUNA_PIETRA_NAME,Piccola Runa di Pietra
ITEM_SFERA_PERLA_NAME,Sfera di Perla
ITEM_SHARD_VUOTO_NAME,Shard del Vuoto
ITEM_SIGILLO_CERA_NAME,Sigillo di Cera
ITEM_TESCHIO_UCCELLO_NAME,Teschio di Uccello
ITEM_CALZARI_ARCIMAGO_NAME,Calzari dell'Arcimago
ITEM_CALZARI_ASSASSINO_NAME,Calzari dell'Assassino
ITEM_CALZARI_CACCIATORE_NAME,Calzari del Cacciatore
ITEM_CALZARI_ELETTO_NAME,Calzari dell'Eletto
ITEM_CALZARI_ESPLORATORE_NAME,Calzari dell'Esploratore
ITEM_CALZARI_IMBOTTITI_NAME,Calzari Imbottiti
ITEM_CALZARI_LADRO_NAME,Calzari del Ladro
ITEM_CALZARI_MAGO_NAME,Calzari del Mago
ITEM_CALZARI_MANNARO_NAME,Calzari del Mannaro
ITEM_CALZARI_NEGROMANTE_NAME,Calzari del Negromante
ITEM_CALZARI_RANGER_NAME,Calzari del Ranger
ITEM_CALZARI_TELA_NAME,Calzari di Tela
ITEM_CALZARI_TEMPLARE_NAME,Calzari del Templare
ITEM_CALZARI_VAMPIRO_NAME,Calzari del Vampiro
ITEM_CALZARI_VUOTO_NAME,Calzari del Vuoto
ITEM_SANDALI_LOGORI_NAME,Sandali Logori
ITEM_STIVALI_ABISSI_NAME,Stivali degli Abissi
ITEM_STIVALI_ACCIAIO_NAME,Stivali d'Acciaio
ITEM_STIVALI_BERSERKER_NAME,Stivali del Berserker
ITEM_STIVALI_CAMPIONE_NAME,Stivali del Campione
ITEM_STIVALI_CAVALIERE_NAME,Stivali del Cavaliere
ITEM_STIVALI_COLOSSO_NAME,Stivali del Colosso
ITEM_STIVALI_CORSARO_NAME,Stivali del Corsaro
ITEM_STIVALI_CUOIO_GREZZO_NAME,Stivali di Cuoio Grezzo
ITEM_STIVALI_CUOIO_L_NAME,Stivali di Cuoio
ITEM_STIVALI_DIO_GUERRA_NAME,Stivali del Dio della Guerra
ITEM_STIVALI_DRUIDO_NAME,Stivali del Druido
ITEM_STIVALI_GLADIATORE_NAME,Stivali del Gladiatore
ITEM_STIVALI_RINFORZATI_NAME,Stivali Rinforzati
ITEM_STIVALI_SOLDATO_NAME,Stivali del Soldato
ITEM_STIVALI_STELLARI_NAME,Stivali Stellari
ITEM_STIVALI_VIANDANTE_NAME,Stivali del Viandante
ITEM_BENDE_LINO_NAME,Bende di Lino
ITEM_BRACCIALI_ARCIMAGO_NAME,Bracciali dell'Arcimago
ITEM_BRACCIALI_ASSASSINO_NAME,Bracciali dell'Assassino
ITEM_BRACCIALI_CORDA_NAME,Bracciali di Corda
ITEM_BRACCIALI_CUOIO_NAME,Bracciali di Cuoio
ITEM_BRACCIALI_ELETTO_NAME,Bracciali dell'Eletto
ITEM_BRACCIALI_MAGO_NAME,Bracciali del Mago
ITEM_BRACCIALI_NEGROMANTE_NAME,Bracciali del Negromante
ITEM_BRACCIALI_SOLDATO_NAME,Bracciali del Soldato
ITEM_BRACCIALI_VAMPIRO_NAME,Bracciali del Vampiro
ITEM_BRACCIALI_VUOTO_NAME,Bracciali del Vuoto
ITEM_GUANTI_CACCIATORE_NAME,Guanti del Cacciatore
ITEM_GUANTI_CAMPIONE_NAME,Guanti del Campione
ITEM_GUANTI_CAVALIERE_NAME,Guanti del Cavaliere
ITEM_GUANTI_CORSARO_NAME,Guanti del Corsaro
ITEM_GUANTI_CUOIO_GREZZO_NAME,Guanti di Cuoio Grezzo
ITEM_GUANTI_CUOIO_NAME,Guanti di Cuoio
ITEM_GUANTI_DIO_GUERRA_NAME,Guanti del Dio della Guerra
ITEM_GUANTI_DRUIDO_NAME,Guanti del Druido
ITEM_GUANTI_GLADIATORE_NAME,Guanti del Gladiatore
ITEM_GUANTI_LADRO_NAME,Guanti del Ladro
ITEM_GUANTI_RANGER_NAME,Guanti del Ranger
ITEM_MANOPOLE_ABISSI_NAME,Manopole degli Abissi
ITEM_MANOPOLE_ACCIAIO_NAME,Manopole d'Acciaio
ITEM_MANOPOLE_BERSERKER_NAME,Manopole del Berserker
ITEM_MANOPOLE_COLOSSO_NAME,Manopole del Colosso
ITEM_MANOPOLE_FERRO_NAME,Manopole di Ferro
ITEM_MANOPOLE_GUERRIERO_NAME,Manopole del Guerriero
ITEM_MANOPOLE_STELLARI_NAME,Manopole Stellari
ITEM_MANOPOLE_TEMPLARE_NAME,Manopole del Templare
ITEM_ABITI_APPRENDISTA_NAME,Abiti dell'Apprendista
ITEM_ABITI_CRONOMANTE_NAME,Abiti del Cronomante
ITEM_ABITI_DOMINATORE_NAME,Abiti del Dominatore
ITEM_ABITI_DRUIDO_NAME,Abiti del Druido
ITEM_ABITI_ILLUSIONISTA_NAME,Abiti dell'Illusionista
ITEM_ABITI_NEGROMANTE_NAME,Abiti del Negromante
ITEM_ABITI_NOVIZIO_NAME,Abiti da Novizio
ITEM_ABITI_ORACOLO_NAME,Abiti dell'Oracolo
ITEM_ABITI_PARADOSSO_NAME,Abiti del Paradosso
ITEM_TOGA_ABISSO_NAME,Toga dell'Abisso
ITEM_TOGA_ARCANISTA_NAME,Toga dell'Arcanista
ITEM_TOGA_DEMONISTA_NAME,Toga del Demonista
ITEM_TOGA_EVOCATORE_NAME,Toga dell'Evocatore
ITEM_TOGA_LANA_NAME,Toga di Lana
ITEM_TOGA_LICH_NAME,Toga del Lich
ITEM_TOGA_SACERDOTE_NAME,Toga del Sacerdote
ITEM_TUNICA_INCANTATA_NAME,Tunica Incantata
ITEM_TUNICA_LINO_NAME,Tunica di Lino
ITEM_VESTE_ARCIMAGO_NAME,Veste dell'Arcimago
ITEM_VESTE_ELETTO_NAME,Veste dell'Eletto
ITEM_VESTE_MAGO_NAME,Veste del Mago
ITEM_VESTE_PIROMANTE_NAME,Veste del Piromante
ITEM_VESTE_SETA_NAME,Veste di Seta
ITEM_VESTE_SPETTRO_NAME,Veste dello Spettro
ITEM_VESTE_STREGA_NAME,Veste della Strega
ITEM_VESTE_STREGONE_NAME,Veste dello Stregone
ITEM_VESTE_VIANDANTE_NAME,Veste del Viandante
ITEM_VESTE_VUOTO_NAME,Veste del Vuoto
ITEM_CORAZZA_CAMPIONE_H_NAME,Corazza del Campione
ITEM_CORAZZA_CAVALIERE_H_NAME,Corazza del Cavaliere
ITEM_CORAZZA_GUERRIERO_H_NAME,Corazza del Guerriero
ITEM_CORAZZA_INVINCIBILE_NAME,Corazza dell'Invincibile
ITEM_CORAZZA_PIASTRE_NAME,Corazza a Piastre
ITEM_CORAZZA_SOLDATO_NAME,Corazza del Soldato
ITEM_LORICA_ACCIAIO_NAME,Lorica d'Acciaio
ITEM_LORICA_DIO_GUERRA_NAME,Lorica del Dio della Guerra
ITEM_LORICA_FERRO_NAME,Lorica di Ferro
ITEM_LORICA_RINFORZATA_NAME,Lorica Rinforzata
ITEM_LORICA_TEMPLARE_NAME,Lorica del Templare
ITEM_LORICA_TEMPRATA_NAME,Lorica Temprata
ITEM_PIASTRE_ACCIAIO_NAME,Piastre d'Acciaio
ITEM_PIASTRE_COLOSSO_NAME,Piastre del Colosso
ITEM_PIASTRE_FERRO_NAME,Piastre di Ferro
ITEM_PIASTRE_GIGANTI_NAME,Piastre dei Giganti
ITEM_PIASTRE_RINFORZATE_NAME,Piastre Rinforzate
ITEM_PIASTRE_RUNATE_NAME,Piastre Runate
ITEM_BERRETTO_ARCIMAGO_NAME,Berretto dell'Arcimago
ITEM_BERRETTO_IMBOTTITO_NAME,Berretto Imbottito
ITEM_BERRETTO_NEGROMANTE_NAME,Berretto del Negromante
ITEM_CAPPUCCIO_ASSASSINO_NAME,Cappuccio dell'Assassino
ITEM_CAPPUCCIO_CUOIO_NAME,Cappuccio di Cuoio
ITEM_CAPPUCCIO_DRUIDO_NAME,Cappuccio del Druido
ITEM_CAPPUCCIO_ELETTO_NAME,Cappuccio dell'Eletto
ITEM_CAPPUCCIO_LADRO_NAME,Cappuccio del Ladro
ITEM_CAPPUCCIO_OMBRA_NAME,Cappuccio dell'Ombra
ITEM_CAPPUCCIO_RANGER_NAME,Cappuccio del Ranger
ITEM_CAPPUCCIO_TELA_NAME,Cappuccio di Tela
ITEM_CAPPUCCIO_VAMPIRO_NAME,Cappuccio del Vampiro
ITEM_CAPPUCCIO_VIANDANTE_NAME,Cappuccio del Viandante
ITEM_CORONA_OSCURA_NAME,Corona Oscura
ITEM_ELMETTO_ACCIAIO_NAME,Elmetto d'Acciaio
ITEM_ELMETTO_FERRO_NAME,Elmetto di Ferro
ITEM_ELMETTO_RINFORZATO_NAME,Elmetto Rinforzato
ITEM_ELMETTO_STELLE_NAME,Elmetto delle Stelle
ITEM_ELMO_ABISSI_NAME,Elmo degli Abissi
ITEM_ELMO_CACCIATORE_DRAGHI_NAME,Elmo del Cacciatore di Draghi
ITEM_ELMO_CAMPIONE_NAME,Elmo del Campione
ITEM_ELMO_CAVALIERE_NAME,Elmo del Cavaliere
ITEM_ELMO_COLOSSO_NAME,Elmo del Colosso
ITEM_ELMO_DIO_GUERRA_NAME,Elmo del Dio della Guerra
ITEM_ELMO_GLADIATORE_NAME,Elmo del Gladiatore
ITEM_ELMO_GUERRIERO_NAME,Elmo del Guerriero
ITEM_ELMO_SOLDATO_NAME,Elmo del Soldato
ITEM_ELMO_TEMPLARE_NAME,Elmo del Templare
ITEM_FASCIA_ARCANISTA_NAME,Fascia dell'Arcanista
ITEM_FASCIA_CRONOMANTE_NAME,Fascia del Cronomante
ITEM_FASCIA_CUOIO_NAME,Fascia di Cuoio
ITEM_FASCIA_MAGO_NAME,Fascia del Mago
ITEM_ABITI_LOGORI_NAME,Abiti Logori
ITEM_ARMATURA_CUOIO_NAME,Armatura di Cuoio
ITEM_ARMATURA_DRUIDO_NAME,Armatura del Druido
ITEM_ARMATURA_MANNARO_NAME,Armatura del Mannaro
ITEM_ARMATURA_PREDATORE_2_NAME,Armatura del Predatore II
ITEM_ARMATURA_PREDATORE_NAME,Armatura del Predatore
ITEM_ARMATURA_SCOUT_NAME,Armatura da Scout
ITEM_ARMATURA_SNELLA_NAME,Armatura Snella
ITEM_ARMATURA_VAGABONDO_NAME,Armatura del Vagabondo
ITEM_CAMICIA_IMBOTTITA_NAME,Camicia Imbottita
ITEM_CORAZZA_ASSASSINO_NAME,Corazza dell'Assassino
ITEM_CORAZZA_CACCIATORE_TAGLIE_NAME,Corazza del Cacciatore di Taglie
ITEM_CORAZZA_CUOIO_NAME,Corazza di Cuoio
ITEM_CORAZZA_ESPLORATORE_NAME,Corazza dell'Esploratore
ITEM_CORAZZA_OMBRA_NAME,Corazza dell'Ombra
ITEM_CORAZZA_RANGER_NAME,Corazza del Ranger
ITEM_CORAZZA_VIANDANTE_NAME,Corazza del Viandante
ITEM_COTTA_CUOIO_NAME,Cotta di Cuoio
ITEM_CUOIO_BARDO_NAME,Cuoio del Bardo
ITEM_CUOIO_CACCIATORE_NAME,Cuoio del Cacciatore
ITEM_CUOIO_GREZZO_NAME,Armatura di Cuoio Grezzo
ITEM_CUOIO_IMBEVUTO_NAME,Cuoio Imbevuto
ITEM_CUOIO_INDURITO_NAME,Cuoio Indurito
ITEM_CUOIO_LAVORATO_NAME,Cuoio Lavorato
ITEM_CUOIO_RINFORZATO_NAME,Cuoio Rinforzato
ITEM_CUOIO_RUNATO_NAME,Cuoio Runato
ITEM_CUOIO_SCIAMANO_NAME,Cuoio dello Sciamano
ITEM_CUOIO_STAGIONATO_NAME,Cuoio Stagionato
ITEM_CUOIO_VAMPIRO_NAME,Cuoio del Vampiro
ITEM_GILET_LADRO_NAME,Gilet del Ladro
ITEM_GIUBBA_CUOIO_NAME,Giubba di Cuoio
ITEM_GIUBBA_RINFORZATA_NAME,Giubba Rinforzata
ITEM_PETTORALE_LADRO_NAME,Pettorale del Ladro
ITEM_ARMATURA_CACCIATORE_DRAGHI_NAME,Armatura del Cacciatore di Draghi
ITEM_ARMATURA_CAMPIONE_NAME,Armatura del Campione
ITEM_ARMATURA_CORSARO_NAME,Armatura del Corsaro
ITEM_ARMATURA_GLADIATORE_NAME,Armatura del Gladiatore
ITEM_ARMATURA_GUERRIERO_NAME,Armatura del Guerriero
ITEM_ARMATURA_LAMELLE_NAME,Armatura a Lamelle
ITEM_BRIGANTINA_RINFORZATA_NAME,Brigantina Rinforzata
ITEM_BRIGANTINA_RUNATA_NAME,Brigantina Runata
ITEM_BRIGANTINA_NAME,Brigantina
ITEM_CORPETTO_MAGLIA_NAME,Corpetto di Maglia
ITEM_COTTA_ADAMANTIO_NAME,Cotta di Adamantio
ITEM_COTTA_CAVALIERE_NAME,Cotta del Cavaliere
ITEM_COTTA_MAGLIA_GREZZA_NAME,Cotta di Maglia Grezza
ITEM_COTTA_MAGLIA_NAME,Cotta di Maglia
ITEM_COTTA_MERCENARIO_NAME,Cotta del Mercenario
ITEM_COTTA_RINFORZATA_NAME,Cotta Rinforzata
ITEM_COTTA_SENTINELLA_NAME,Cotta della Sentinella
ITEM_COTTA_TEMPLARE_NAME,Cotta del Templare
ITEM_LAMELLE_ACCIAIO_NAME,Lamelle d'Acciaio
ITEM_LAMELLE_FORGIATE_NAME,Lamelle Forgiate
ITEM_ASSE_LEGNO_NAME,Asse di Legno
ITEM_BASTIONE_STELLARE_NAME,Bastione Stellare
ITEM_EGIDA_ELETTO_NAME,Egida dell'Eletto
ITEM_EGIDA_RUNATA_NAME,Egida Runata
ITEM_GRANDE_SCUDO_DEI_NAME,Grande Scudo degli Dei
ITEM_PAVESE_ACCIAIO_NAME,Pavese d'Acciaio
ITEM_PAVESE_DIO_GUERRA_NAME,Pavese del Dio della Guerra
ITEM_PAVESE_FERRO_NAME,Pavese di Ferro
ITEM_PAVESE_LEGNO_NAME,Pavese di Legno
ITEM_PAVESE_SACRA_NAME,Pavese Sacra
ITEM_PAVESE_TEMPLARE_NAME,Pavese del Templare
ITEM_ROTELLA_ACCIAIO_NAME,Rotella d'Acciaio
ITEM_ROTELLA_FERRO_NAME,Rotella di Ferro
ITEM_ROTELLA_RUNATA_NAME,Rotella Runata
ITEM_SCUDO_ABISSI_NAME,Scudo degli Abissi
ITEM_SCUDO_ACCIAIO_NAME,Scudo d'Acciaio
ITEM_SCUDO_BENEDETTO_NAME,Scudo Benedetto
ITEM_SCUDO_CAMPIONE_S_NAME,Scudo del Campione
ITEM_SCUDO_CAVALIERE_NAME,Scudo del Cavaliere
ITEM_SCUDO_COLOSSO_NAME,Scudo del Colosso
ITEM_SCUDO_CUOIO_NAME,Scudo di Cuoio
ITEM_SCUDO_CUSTODE_NAME,Scudo del Custode
ITEM_SCUDO_FERRO_NAME,Scudo di Ferro
ITEM_SCUDO_GLADIATORE_NAME,Scudo del Gladiatore
ITEM_SCUDO_LEGNO_RINFORZATO_NAME,Scudo di Legno Rinforzato
ITEM_SCUDO_RINFORZATO_2_NAME,Scudo Rinforzato II
ITEM_SCUDO_RINFORZATO_NAME,Scudo Rinforzato
ITEM_SCUDO_SACERDOTE_NAME,Scudo del Sacerdote
ITEM_SCUDO_SOLDATO_NAME,Scudo del Soldato
ITEM_SCUDO_TEMPLARE_NAME,Scudo del Templare
ITEM_DISTILLATO_EROE_NAME,Distillato dell'Eroe
ITEM_DISTILLATO_FORZA_NAME,Distillato di Forza
ITEM_DISTILLATO_RESISTENZA_NAME,Distillato di Resistenza
ITEM_ELISIR_AGILITA_NAME,Elisir dell'Agilita
ITEM_ELISIR_BERSERKER_NAME,Elisir del Berserker
ITEM_ELISIR_IMMORTALE_B_NAME,Elisir dell'Immortale
ITEM_ELISIR_MENTE_NAME,Elisir della Mente
ITEM_ELISIR_NEGROMANTE_NAME,Elisir del Negromante
ITEM_ESSENZA_DEI_NAME,Essenza degli Dei
ITEM_POZIONE_ACUTEZZA_NAME,Pozione dell'Acutezza
ITEM_POZIONE_CAMPIONE_NAME,Pozione del Campione
ITEM_POZIONE_DIFESA_NAME,Pozione della Difesa
ITEM_POZIONE_FOCOLARE_NAME,Pozione del Focolare
ITEM_POZIONE_FORZA_B_NAME,Pozione della Forza
ITEM_POZIONE_FULMINE_B_NAME,Pozione del Fulmine
ITEM_POZIONE_GHIACCIAIO_NAME,Pozione del Ghiacciaio
ITEM_POZIONE_GIGANTE_NAME,Pozione del Gigante
ITEM_POZIONE_INVINCIBILE_NAME,Pozione dell'Invincibile
ITEM_POZIONE_INVISIBILITA_NAME,Pozione di Invisibilita
ITEM_POZIONE_RESISTENZA_NAME,Pozione di Resistenza
ITEM_POZIONE_RIGENERAZIONE_NAME,Pozione di Rigenerazione
ITEM_POZIONE_VELOCITA_NAME,Pozione della Velocita
ITEM_SANGUE_DRAGO_NAME,Sangue del Drago
ITEM_UNGUENTO_PELLE_NAME,Unguento della Pelle
ITEM_UNGUENTO_RUNATO_NAME,Unguento Runato
ITEM_ACQUA_FONTE_SACRA_NAME,Acqua della Fonte Sacra
ITEM_AMBROSIA_NAME,Ambrosia
ITEM_BANCHETTO_VIAGGIO_NAME,Banchetto da Viaggio
ITEM_BIRRA_GUERRIERO_NAME,Birra del Guerriero
ITEM_BISTECCA_TROLL_NAME,Bistecca di Troll
ITEM_BISTECCA_TROLL_DESC,Si rigenera mentre la si mastica. Strano.
ITEM_CARNE_CINGHIALE_NAME,Carne di Cinghiale
ITEM_CARNE_CINGHIALE_DESC,Carne dura ma nutriente.
ITEM_CARNE_DRAGO_PICCOLA_NAME,Carne di Drago (piccola)
ITEM_CARNE_DRAGO_NAME,Carne di Drago
ITEM_CARNE_DRAGO_DESC,Brucia ancora in gola. Potenziante.
ITEM_CARNE_ESSICCATA_NAME,Carne Essiccata
ITEM_CARNE_MOSTRO_NAME,Carne di Mostro
ITEM_CARNE_RATTO_NAME,Carne di Ratto
ITEM_CARNE_RATTO_DESC,Sopravvivenza di base.
ITEM_CIBO_EROI_NAME,Cibo degli Eroi
ITEM_COSCIA_LUPO_NAME,Coscia di Lupo
ITEM_COSCIA_LUPO_DESC,"Carne cruda di lupo. Commestibile, se si è disperati."
ITEM_FEGATO_GOBLIN_NAME,Fegato di Goblin
ITEM_FEGATO_GOBLIN_DESC,Sgradevole ma energizzante.
ITEM_FORMAGGIO_CAPRA_NAME,Formaggio di Capra
ITEM_FUNGO_ABISSO_NAME,Fungo dell'Abisso
ITEM_FUNGO_MAGICO_NAME,Fungo Magico
ITEM_GALLETTA_SOLDATO_NAME,Galletta del Soldato
ITEM_MELA_NAME,Mela
ITEM_MIELE_FATE_NAME,Miele delle Fate
ITEM_MIELE_SELVATICO_NAME,Miele Selvatico
ITEM_PANE_DEI_NAME,Pane degli Dei
ITEM_PANE_EROE_NAME,Pane dell'Eroe
ITEM_PANE_FRESCO_NAME,Pane Fresco
ITEM_PANE_RAFFERMO_NAME,Pane Raffermo
ITEM_PESCE_SALATO_NAME,Pesce Salato
ITEM_RAZIONE_COMBATTIMENTO_NAME,Razione da Combattimento
ITEM_STUFATO_DUNGEON_NAME,Stufato di Dungeon
ITEM_TISANA_ORACOLO_NAME,Tisana dell'Oracolo
ITEM_UOVA_RAGNO_NAME,Uova di Ragno
ITEM_UOVA_RAGNO_DESC,Gelatinose. Nutrienti in modo inquietante.
ITEM_VINO_SACERDOTE_NAME,Vino del Sacerdote
ITEM_ZUPPA_OSSA_NAME,Zuppa di Ossa
ITEM_CHIAVE_ARGENTO_NAME,Chiave d'Argento
ITEM_CHIAVE_ARRUGGINITA_NAME,Chiave Arrugginita
ITEM_CHIAVE_BOSS_NAME,Chiave del Boss
ITEM_CHIAVE_DUNGEON_NAME,Chiave del Dungeon
ITEM_CHIAVE_FERRO_NAME,Chiave di Ferro
ITEM_CHIAVE_MAESTRA_NAME,Chiave Maestra
ITEM_CHIAVE_ORO_NAME,Chiave d'Oro
ITEM_CHIAVE_RUNATA_NAME,Chiave Runata
ITEM_CHIAVE_VAULT_NAME,Chiave del Vault
ITEM_GRIMALDELLO_NAME,Grimaldello
ITEM_ARTIGLIO_GOBLIN_NAME,Artiglio di Goblin
ITEM_CAPELLI_GHOUL_NAME,Capelli del Ghoul
ITEM_CARNE_ZOMBIE_NAME,Carne di Zombie
ITEM_CENERE_ARCHILICH_NAME,Cenere dell'Archilich
ITEM_CORNA_DEMONE_NAME,Corna del Demone
ITEM_DENTE_MANNARO_NAME,Dente di Mannaro
ITEM_DENTE_RATTO_NAME,Dente di Ratto
ITEM_ESSENZA_STREGA_NAME,Essenza di Strega
ITEM_FRAMMENTO_GARGOYLE_NAME,Frammento di Gargoyle
ITEM_FRAMMENTO_MATTONELLA_NAME,Frammento di Mattonella
ITEM_FRAMMENTO_VUOTO_NAME,Frammento del Vuoto
ITEM_LIBRO_STRAPPATO_NAME,Libro Strappato
ITEM_MONETA_LOGORA_NAME,Moneta Logora
ITEM_MUCO_SLIME_NAME,Muco di Slime
ITEM_NUCLEO_SLIME_NAME,Nucleo di Slime
ITEM_ORECCHIO_ELFO_OSCURO_NAME,Orecchio di Elfo Oscuro
ITEM_OSSO_DEATH_KNIGHT_NAME,Osso del Death Knight
ITEM_OSSO_SCHELETRO_NAME,Osso di Scheletro
ITEM_PELLE_LUCERTOLA_NAME,Pelle di Lucertola
ITEM_PEZZO_FERRAGLIA_NAME,Pezzo di Ferraglia
ITEM_PIETRA_GOLEM_NAME,Pietra del Golem
ITEM_PIUMA_ANGELO_CADUTO_NAME,Piuma dell'Angelo Caduto
ITEM_PIUMA_PIPISTRELLO_NAME,Piuma di Pipistrello
ITEM_RAMETTO_STRANO_NAME,Rametto Strano
ITEM_SASSO_LUCIDO_NAME,Sasso Lucido
