keys,it
CLASS_MORTE_INCARNATA_SPECIAL_DESC,Esecuzione istantanea su nemici con HP < 33% del player max_hp. Aura: nemici entro 1 tile perdono 5 HP per turno.
CLASS_NEGROMANTE_NAME,Negromante
CLASS_NEGROMANTE_DESC,"La morte non è una fine, è una risorsa."
CLASS_NEGROMANTE_SPECIAL_NAME,Risurrezione
CLASS_NEGROMANTE_SPECIAL_DESC,Rianima l'ultimo nemico ucciso come alleato per INT/2 turni. Costo: 10 MP.
CLASS_NOOB_NAME,Noob
CLASS_NOOB_DESC,"Nessuna specializzazione. Sopravvive a tutto, eccelle in niente."
CLASS_NOOB_SPECIAL_NAME,Adattamento
CLASS_NOOB_SPECIAL_DESC,Nessun requisito di classe su equipaggiamento. Può usare la Licenza di Classe senza penalità.
CLASS_ORACOLO_NAME,Oracolo
CLASS_ORACOLO_DESC,"Vede il futuro prossimo. Non abbastanza da evitarlo, ma abbastanza da prepararsi."
CLASS_ORACOLO_SPECIAL_NAME,Presagio
CLASS_ORACOLO_SPECIAL_DESC,Passiva: vede HP di tutti i nemici in vista. Q: schiva automaticamente il prossimo attacco (1/combattimento).
CLASS_PALADINO_NAME,Paladino
CLASS_PALADINO_DESC,Campione sacro. La fede lo protegge e lo guarisce.
CLASS_PALADINO_SPECIAL_NAME,Imposizione delle Mani
CLASS_PALADINO_SPECIAL_DESC,Cura VIT×3 HP. Una volta per piano.
CLASS_PARADOSSO_NAME,Paradosso
CLASS_PARADOSSO_DESC,Ogni turno è una sorpresa. Anche per lui.
CLASS_PARADOSSO_SPECIAL_NAME,Caos Assoluto
CLASS_PARADOSSO_SPECIAL_DESC,"Ogni turno ottiene un effetto casuale dal pool (es: ATK×3, HP/2, invisibilità, DEF×0, +50 HP, -30 MP). Gli effetti si accumulano. La casualità è inarrestabile."
CLASS_PIROMANTE_NAME,Piromante
CLASS_PIROMANTE_DESC,Il fuoco obbedisce ai suoi comandi. E brucia tutto il resto.
CLASS_PIROMANTE_SPECIAL_NAME,Pirobola
CLASS_PIROMANTE_SPECIAL_DESC,Danno = INT al bersaglio + bruciatura (INT/3 danno/turno per 3 turni). Costo: 8 MP. Range: INT/3 tile.
CLASS_PREDATORE_NAME,Predatore
CLASS_PREDATORE_DESC,Ogni stanza è il suo territorio. Ogni nemico è già una preda.
CLASS_PREDATORE_SPECIAL_NAME,Fiuto / Primo Colpo
CLASS_PREDATORE_SPECIAL_DESC,Q: rivela posizione di tutti i nemici del piano. Passiva: primo attacco su nemico non-allertato ×2 danno.
CLASS_RANGER_NAME,Ranger
CLASS_RANGER_DESC,Esploratore selvaggio. Non combatte mai da solo.
CLASS_RANGER_SPECIAL_NAME,Compagno Lupo
CLASS_RANGER_SPECIAL_DESC,Un lupo alleato (permanent) combatte insieme a te. Respawna al piano successivo se muore.
CLASS_SACERDOTE_NAME,Sacerdote
CLASS_SACERDOTE_DESC,Guaritore devoto. La sua fede si traduce in recupero continuo.
CLASS_SACERDOTE_SPECIAL_NAME,Benedizione
CLASS_SACERDOTE_SPECIAL_DESC,Rigenera VIT/4 HP ogni 3 turni. Immunità ai debuff di tipo 'maledizione'.
CLASS_SCIAMANO_NAME,Sciamano
CLASS_SCIAMANO_DESC,Invoca spiriti protettori che vigilano sul campo di battaglia.
CLASS_SCIAMANO_SPECIAL_NAME,Totem Curativo
CLASS_SCIAMANO_SPECIAL_DESC,Piazza un totem su tile adiacente. Entro 3 tile: +WIL/4 HP ogni 2 turni. Max 1 totem. HP=1.
CLASS_SENTINELLA_NAME,Sentinella
CLASS_SENTINELLA_DESC,Immobile come una roccia. Altrettanto difficile da abbattere.
CLASS_SENTINELLA_SPECIAL_NAME,Posizione di Guardia
CLASS_SENTINELLA_SPECIAL_DESC,"Ogni turno senza muoversi né attaccare: DEF ×(1+stacks), max ×4. Si azzera al primo movimento."
CLASS_SPECCHIO_ABISSO_NAME,Specchio dell'Abisso
CLASS_SPECCHIO_ABISSO_DESC,Il suo dolore è il dolore degli altri.
CLASS_SPECCHIO_ABISSO_SPECIAL_NAME,Riflesso dell'Abisso
CLASS_SPECCHIO_ABISSO_SPECIAL_DESC,100% dei danni subiti riflessi su tutti i nemici in vista. Non può morire per il riflesso stesso. Immune ai colpi critici.
CLASS_SPELLBLADE_NAME,Spellblade
CLASS_SPELLBLADE_DESC,Fonde magia e acciaio in una singola lama letale.
CLASS_SPELLBLADE_SPECIAL_NAME,Lama Incantata
CLASS_SPELLBLADE_SPECIAL_DESC,I prossimi 3 attacchi fisici aggiungono INT come danno bonus (ignora DEF). Costo: 12 MP.
CLASS_SPETTRO_NAME,Spettro
CLASS_SPETTRO_DESC,Non è nel dungeon. È parte di esso.
CLASS_SPETTRO_SPECIAL_NAME,Incorporeità
CLASS_SPETTRO_SPECIAL_DESC,Può muoversi attraverso i muri (non porte). I nemici hanno 50% miss rate. Non si allertano oltre 1 tile.
CLASS_STREGA_NAME,Strega
CLASS_STREGA_DESC,Le sue maledizioni indeboliscono il corpo e lo spirito.
CLASS_STREGA_SPECIAL_NAME,Maledizione
CLASS_STREGA_SPECIAL_DESC,Un nemico visibile: tutti i suoi stat -20% per 5 turni. Costo: 10 MP.
CLASS_STREGONE_NAME,Stregone
CLASS_STREGONE_DESC,Ha stretto un patto con forze oscure. Il prezzo è il suo stesso corpo.
CLASS_STREGONE_SPECIAL_NAME,Patto Oscuro
CLASS_STREGONE_SPECIAL_DESC,"Q: consuma HP in MP (1:1), +5% ATK per ogni 10% HP mancante. Costo: 5 HP per attivazione."
CLASS_TEMPLARE_NAME,Templare
CLASS_TEMPLARE_DESC,La sua aura sacra indebolisce i nemici solo stando loro vicino.
CLASS_TEMPLARE_SPECIAL_NAME,Aura Sacra / Luce Sacra
CLASS_TEMPLARE_SPECIAL_DESC,"Passiva: nemici entro 2 tile -15% ATK. Q: AoE danno sacro su tutti i nemici in vista (WIL×2, ignora DEF). Costo: 20 MP. Cooldown: 5 turni."
CLASS_VAMPIRO_NAME,Vampiro
CLASS_VAMPIRO_DESC,Ogni ferita inferta lo fa stare meglio. Un predatore perfetto.
CLASS_VAMPIRO_SPECIAL_NAME,Morso Vitale
CLASS_VAMPIRO_SPECIAL_DESC,Ogni attacco fisico inferto cura HP pari al 25% dei danni inflitti.
CLASS_VIANDANTE_NAME,Viandante
CLASS_VIANDANTE_DESC,Ha visto tutto. Sa dove andare. I nemici non lo sentono arrivare.
CLASS_VIANDANTE_SPECIAL_NAME,Passo Furtivo
CLASS_VIANDANTE_SPECIAL_DESC,I nemici non si allertano entro 2 tile. Detection range nemici verso player dimezzato.
CLASS_VUOTO_NAME,Il Vuoto
CLASS_VUOTO_DESC,"Oltre la morte, oltre il tempo. Non è più niente. Ed è tutto."
CLASS_VUOTO_SPECIAL_NAME,Forma del Vuoto / Intangibilità
CLASS_VUOTO_SPECIAL_DESC,"Passiva: alla morte, rinasce con 1 HP (1/run). Ogni combattimento vinto: +1 WIL permanente per la run (max +20). Q: intangibile 3 turni (immune a tutto, non può attaccare). Costo: 20 MP."
