keys,it
FACTION_COSTRUTTI_DESC,Macchine da guerra animate da meccanismi e magie dimenticate. Non conoscono tregua.
FACTION_NATURA_DESC,La forza primordiale della natura. Né buona né malvagia — semplicemente selvaggia.
FACTION_STATE_ENEMY_SWORN,Nemico Giurato
FACTION_STATE_HOSTILE,Ostile
FACTION_STATE_NEUTRAL,Neutrale
FACTION_STATE_FRIENDLY,Amico
FACTION_STATE_ALLIED,Alleato
FACTION_STATE_TRUSTED,Fidato
CRIME_ASSAULT,Aggressione
CRIME_MURDER,Omicidio
CRIME_THEFT,Furto
CRIME_TRESPASSING,Violazione di Proprietà
CRIME_ILLEGAL_MAGIC,Magia Illegale
CRIME_INTIMIDATION,Intimidazione
CRIME_SMUGGLING,Contrabbando
CRIME_BRIBERY,Corruzione
FACTION_CORPORAZIONE_CAMERE_RANK_0,Iscritto
FACTION_CORPORAZIONE_CAMERE_RANK_1,Patentato
FACTION_CORPORAZIONE_CAMERE_RANK_2,Condottiero
FACTION_CORPORAZIONE_CAMERE_RANK_3,Condottiero Anziano
FACTION_CORPORAZIONE_CAMERE_RANK_4,Referente di Condotta
FACTION_CORPORAZIONE_CAMERE_RANK_5,Gran Condottiero
FACTION_CACCIATORI_ROGNA_RANK_0,Apprendista Cacciatore
FACTION_CACCIATORI_ROGNA_RANK_1,Cacciatore
FACTION_CACCIATORI_ROGNA_RANK_2,Cacciatore Esperto
FACTION_CACCIATORI_ROGNA_RANK_3,Cacciatore Veterano
FACTION_CACCIATORI_ROGNA_RANK_4,Maestro Cacciatore
FACTION_CACCIATORI_ROGNA_RANK_5,Gran Cacciatore
FACTION_COLLEGIO_CARTOGRAFI_RANK_0,Apprendista Cartografo
FACTION_COLLEGIO_CARTOGRAFI_RANK_1,Cartografo
FACTION_COLLEGIO_CARTOGRAFI_RANK_2,Cartografo Esperto
FACTION_COLLEGIO_CARTOGRAFI_RANK_3,Maestro Cartografo
FACTION_COLLEGIO_CARTOGRAFI_RANK_4,Primo Cartografo
FACTION_COLLEGIO_CARTOGRAFI_RANK_5,Gran Cartografo
FACTION_COMPAGNIA_PONTI_RANK_0,Associato
FACTION_COMPAGNIA_PONTI_RANK_1,Guardiano di Strada
FACTION_COMPAGNIA_PONTI_RANK_2,Guardiano Esperto
FACTION_COMPAGNIA_PONTI_RANK_3,Ispettore Stradale
FACTION_COMPAGNIA_PONTI_RANK_4,Ingegnere dei Ponti
FACTION_COMPAGNIA_PONTI_RANK_5,Gran Maestro delle Strade
FACTION_CORRIERI_SIGILLO_RANK_0,Staffetta
FACTION_CORRIERI_SIGILLO_RANK_1,Corriere
FACTION_CORRIERI_SIGILLO_RANK_2,Corriere Esperto
FACTION_CORRIERI_SIGILLO_RANK_3,Primo Corriere
FACTION_CORRIERI_SIGILLO_RANK_4,Corriere d'Élite
FACTION_CORRIERI_SIGILLO_RANK_5,Gran Corriere di Sigillo
FACTION_CONGREGAZIONE_OFFICINE_RANK_0,Assistente
FACTION_CONGREGAZIONE_OFFICINE_RANK_1,Praticante
FACTION_CONGREGAZIONE_OFFICINE_RANK_2,Officinale
FACTION_CONGREGAZIONE_OFFICINE_RANK_3,Officinale Esperto
FACTION_CONGREGAZIONE_OFFICINE_RANK_4,Maestro Officinale
FACTION_CONGREGAZIONE_OFFICINE_RANK_5,Gran Maestro delle Officine
FACTION_TAVOLA_SENZA_NOME_RANK_0,Contatto
FACTION_TAVOLA_SENZA_NOME_RANK_1,Agente
FACTION_TAVOLA_SENZA_NOME_RANK_2,Ombra
FACTION_TAVOLA_SENZA_NOME_RANK_3,Ombra Esperta
FACTION_TAVOLA_SENZA_NOME_RANK_4,Maestro dell'Ombra
FACTION_TAVOLA_SENZA_NOME_RANK_5,Capotavola
PASSIVE_PATENTE_DI_CONDOTTA_NAME,Patente di Condotta
PASSIVE_PATENTE_DI_CONDOTTA_DESC,Accesso ai mercati regolamentati del Canone. Riduce i costi di transazione con mercanti affiliati.
PASSIVE_BESTIARI_DELLA_ROGNA_NAME,Bestiari della Rogna
PASSIVE_BESTIARI_DELLA_ROGNA_DESC,Conoscenza delle creature infestate. Bonus al combattimento contro mostri classificati come Rogna.
PASSIVE_SENSO_CARTOGRAFICO_NAME,Senso Cartografico
PASSIVE_SENSO_CARTOGRAFICO_DESC,Riconoscimento automatico delle aree già mappate. I dungeon registrati rivelano la loro struttura.
PASSIVE_DIRITTO_DI_STRADA_NAME,Diritto di Strada
PASSIVE_DIRITTO_DI_STRADA_DESC,Utilizzo gratuito delle stazioni di posta. Bonus alla velocità di movimento sulle strade del Canone.
PASSIVE_PORTATORE_DI_SIGILLO_NAME,Portatore di Sigillo
PASSIVE_PORTATORE_DI_SIGILLO_DESC,Il sigillo apre porte e facilita i passaggi. Bonus alla reputazione con le fazioni alleate ai Corrieri.
PASSIVE_ARTE_DELLA_GUARIGIONE_NAME,Arte della Guarigione
PASSIVE_ARTE_DELLA_GUARIGIONE_DESC,Conoscenze mediche avanzate. Gli ambulatori della Congregazione offrono cure a prezzo ridotto.
PASSIVE_RETE_OSCURA_NAME,Rete Oscura
PASSIVE_RETE_OSCURA_DESC,"Accesso alla rete informativa della Tavola. Prezzi ridotti al mercato nero e accesso a contratti segreti."
